,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
1,8,0,57,0,7.12,-,-,v India,Nagpur,18-Dec-09,ODI # 2933,Suranga Lakmal,49619
2,10,0,55,2,5.5,27.5,30,v India,Kolkata,24-Dec-09,ODI # 2935,Suranga Lakmal,49619
4,9,1,63,2,7,31.5,27,v Bangladesh,Dhaka,04-Jan-10,ODI # 2937,Suranga Lakmal,49619
5,8,1,48,0,6,-,-,v India,Dhaka,05-Jan-10,ODI # 2938,Suranga Lakmal,49619
6,10,0,75,0,7.5,-,-,v India,Dhaka,10-Jan-10,ODI # 2941,Suranga Lakmal,49619
7,7,0,52,2,7.42,26,21,v England,The Oval,28-Jun-11,ODI # 3165,Suranga Lakmal,49619
8,7.5,0,43,3,5.48,14.33,15.6,v England,Leeds,01-Jul-11,ODI # 3167,Suranga Lakmal,49619
9,10,0,62,2,6.2,31,30,v England,Lord's,03-Jul-11,ODI # 3168,Suranga Lakmal,49619
10,2,0,12,0,6,-,-,v England,Nottingham,06-Jul-11,ODI # 3169,Suranga Lakmal,49619
11,5,0,39,0,7.8,-,-,v Australia,Pallekele,10-Aug-11,ODI # 3175,Suranga Lakmal,49619
12,4,0,16,2,4,8,12,v Pakistan,Dubai (DSC),11-Nov-11,ODI # 3212,Suranga Lakmal,49619
13,10,1,67,1,6.7,67,60,v India,Dhaka,13-Mar-12,ODI # 3259,Suranga Lakmal,49619
14,8,1,37,2,4.62,18.5,24,v Pakistan,Dhaka,15-Mar-12,ODI # 3260,Suranga Lakmal,49619
15,7.1,0,44,1,6.13,44,43,v Bangladesh,Dhaka,20-Mar-12,ODI # 3265,Suranga Lakmal,49619
16,10,1,33,1,3.3,33,60,v India,Port of Spain,11-Jul-13,ODI # 3388,Suranga Lakmal,49619
17,5.5,0,22,3,3.77,7.33,11.6,v South Africa,Colombo (RPS),31-Jul-13,ODI # 3401,Suranga Lakmal,49619
18,10,0,73,2,7.3,36.5,30,v Pakistan,Sharjah,18-Dec-13,ODI # 3445,Suranga Lakmal,49619
19,9,0,49,1,5.44,49,54,v Pakistan,Abu Dhabi,25-Dec-13,ODI # 3448,Suranga Lakmal,49619
20,7.3,0,42,3,5.6,14,15,v Pakistan,Abu Dhabi,27-Dec-13,ODI # 3450,Suranga Lakmal,49619
21,10,3,24,2,2.4,12,30,v Bangladesh,Dhaka,22-Feb-14,ODI # 3471,Suranga Lakmal,49619
22,9,1,65,2,7.22,32.5,27,v Pakistan,Fatullah,25-Feb-14,ODI # 3473,Suranga Lakmal,49619
23,7,2,30,2,4.28,15,21,v Afghanistan,Dhaka,03-Mar-14,ODI # 3481,Suranga Lakmal,49619
24,10,0,32,2,3.2,16,30,v Bangladesh,Dhaka,06-Mar-14,ODI # 3485,Suranga Lakmal,49619
25,10,2,41,0,4.1,-,-,v Pakistan,Dhaka,08-Mar-14,ODI # 3486,Suranga Lakmal,49619
26,8,1,29,3,3.62,9.66,16,v Ireland,Dublin,06-May-14,ODI # 3490,Suranga Lakmal,49619
27,6,0,34,0,5.66,-,-,v England,The Oval,22-May-14,ODI # 3492,Suranga Lakmal,49619
28,8,0,30,4,3.75,7.5,12,v England,Pallekele,13-Dec-14,ODI # 3567,Suranga Lakmal,49619
29,8,1,25,2,3.12,12.5,24,v England,Colombo (RPS),16-Dec-14,ODI # 3569,Suranga Lakmal,49619
